
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
11436;7,34;7,71;ZS-26/02/4547;5340;5906190530066;Jaja przepiórcze 18 szt;3.000000;szt.;5,00;22,02;23,12
11437;8,01;8,41;ZS-26/02/4547;5342;5900900003024;Kapusta kiszona niepasteryzowana BIO 540 ml;5.000000;szt.;5,00;40,05;42,05
11438;4,38;4,60;ZS-26/02/4547;5343;5900900003376;Żywy zakwas z buraków ćwikłowych bezglutenowy BIO 320;16.000000;szt.;5,00;70,08;73,58
11448;5,29;5,71;ZS-26/02/4547;5354;5904754574839;Bezmięsny Boczek w plastrach 100g;2.000000;szt.;8,00;10,58;11,43
11493;10,42;11,25;ZS-26/02/4547;5401;5905811977051;Roślinne Burgery Brasato 2x100 g;1.000000;szt.;8,00;10,42;11,25
11495;7,68;8,29;ZS-26/02/4547;5403;5905811977068;Roślinny Tuńczyk 150 g;4.000000;szt.;8,00;30,72;33,18
11497;5,19;6,38;ZS-26/02/4547;5405;8002516939104;Napój gazowany mandarynkowy BIO 275 ml;1.000000;szt.;23,00;5,19;6,38
11510;4,89;5,13;ZS-26/02/4547;5421;5908249979499;Płatki kukurydziane bez dodatku cukru BEZGL. BIO 250 g;2.000000;szt.;5,00;9,78;10,27
11523;4,73;4,97;ZS-26/02/4547;5438;5908249979536;Otręby owsiane BIO 500 g EkoWital;2.000000;szt.;5,00;9,46;9,93
11527;7,89;8,28;ZS-26/02/4547;5442;5901902004750;Makaron ryżowy penne BEZGL. BIO 250g;1.000000;szt.;5,00;7,89;8,28
11636;3,57;3,75;ZS-26/02/4547;5564;5903453005392;Ciastka kakaowe mini jungle BIO 100g;3.000000;szt.;5,00;10,71;11,25
11642;11,20;11,76;ZS-26/02/4547;5570;4751019538775;Musli 37% suszonych owoców i nasion bezglutenowe 400 g;10.000000;szt.;5,00;112,00;117,60
11689;11,19;13,76;ZS-26/02/4547;5624;8411066002884;Czekolada gorzka 56% kakao z pomarańczą BIO 100 g;2.000000;szt.;23,00;22,38;27,53
11692;12,13;14,92;ZS-26/02/4547;5627;8411066003102;Czekolada gorzka 73% kakao z oliwą z oliwek BIO 100 g;1.000000;szt.;23,00;12,13;14,92
